membership:sample_set_id	sample
hpvRepSimsDec272022	rep1.HPV16
hpvRepSimsDec272022	rep1.HPV18
hpvRepSimsDec272022	rep1.HPV31
hpvRepSimsDec272022	rep1.HPV33
hpvRepSimsDec272022	rep1.HPV35
hpvRepSimsDec272022	rep1.HPV39
hpvRepSimsDec272022	rep1.HPV45
hpvRepSimsDec272022	rep2.HPV16
hpvRepSimsDec272022	rep2.HPV18
hpvRepSimsDec272022	rep2.HPV31
hpvRepSimsDec272022	rep2.HPV33
hpvRepSimsDec272022	rep2.HPV35
hpvRepSimsDec272022	rep2.HPV39
hpvRepSimsDec272022	rep2.HPV45
hpvRepSimsDec272022	rep3.HPV16
hpvRepSimsDec272022	rep3.HPV18
hpvRepSimsDec272022	rep3.HPV31
hpvRepSimsDec272022	rep3.HPV33
hpvRepSimsDec272022	rep3.HPV35
hpvRepSimsDec272022	rep3.HPV39
hpvRepSimsDec272022	rep3.HPV45
